Years,Key highlight 1,Key highlight 2,Key highlight 3,Key highlight 4,Key highlight 5,People,Person Photo,Places
1942-1945,Nehru Imprisonment,Elections,Government,Constitution Assembly,," Muhammad Ali Jinnah, Jawaharlal Nehru, Sir Sikandar Hayat Khan, Allah Bux, Lord Linlithgow","JawaharlalNehru.jpg, Jinnah.jpg, LordLinlithgow.jpg, Sir_Sikandar_Hayat_Khan.png, Allah_Bux.jpg","Punjab, Sindh"
1945,Nehru Imprisonment,Elections,Government,Constitution Assembly,,"Wavell Plan, Jinnah","Jinnah.jpg, Wavell-Plan.jpg",
1946,Riots,Cabinet Mission,Political Parties,,," Muhammad Ali Jinnah, Jawaharlal Nehru","Jinnah.jpg, JawaharlalNehru.jpg",Calcutta
1946,Riots,Cabinet Mission,Political Parties,,," Muhammad Ali Jinnah, Jawaharlal Nehru","Jinnah.jpg, JawaharlalNehru.jpg",Pakistan
February 1946,Indian Contitution,,,,,,,
April 1946,Indian Contitution,Cabinet Mission,,,,,,Simla
8 August 1946,Political Parties,Indian Contitution,Cabinet Mission,,,Kamaladevi Chattopadhyay and Rajkumari Amrit Kaur,"AmritKaur.jpg, KamaladeviChattopadhyay.png",
16 August 1946,Partition,Indian Contitution,Riots,Political Parties,," Muhammad Ali Jinnah, Jawaharlal Nehru","Jinnah.jpg, JawaharlalNehru.jpg","Calcutta, Bombay"
29 January 1947,Partition,Political Parties,,,, Muhammad Ali Jinnah,Jinnah.jpg,
24 March 1947,Partition,Political Parties,Riots,,,"Sardar Vallabbhai Patel,Jawaharlal Nehru, Lord Mountbatten","Lord_Mountbatten.jpg, JawaharlalNehru.jpg, Sardar_Patel.jpg","Pakistan, Punjab and Bengal"
1947,Partition,Independence,,,,,,
1947,GDP,,,,,,,
1947,Export,,,,,,,
1947,Literacy Rate,Education,,,,,,
1947,,,,,,"Mohandas Karamchand Gandhi, Lord Mountbatten","Lord_Mountbatten.jpg, Mahatma-Gandhi,_studio.jpg",England
1947,Electricity,,,,,,,"Britain, Europe and America"
1854-1947,,,,,,,,
1900-1947,,,,,,,,
1910-1947,,,,,,,,
1947-1991,Electricity,,,,,,,
1880-1947,,,,,,,,
,,,,,,,,
,,,,,,Nadir shah,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,Aurobindo Ghosh,,
,,,,,,Sir Syed Ahmed Khan,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,Mahatma Gandhi,,
,,,,,,Hicky,,
,,,,,,,,
,,,,,,Maharaja of Kashmir,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,Benedict Anderson,,
,,,,,,,,
,,,,,,Partha Chatterjee,,
,,,,,,"David Washbrook, David Lelyveld",,
,,,,,,Arab warrior Muhammad bin Qasim,,
,,,,,,Henry Nevinson,,
,,,,,,,,
,,,,,,Will Durant,,
,,,,,,Alex von Tunzelmann,,
,,,,,,Keith Hjortshoj,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,Dr B. R. Ambedkar,,
,,,,,,,,
,,,,,,Lord Linlithgow,,
,,,,,,,,
,,,,,,Bose,,
,,,,,,,,
,,,,,,Sir Cyril Radcliffe,,
,,,,,,,,
,,,,,,,,
,,,,,,Lawrence James,,
,,,,,,Winston Churchill,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,A. J. P. Taylor,,
,,,,,,,,
,,,,,,Governor General Lord Hardinge,,
,,,,,,Lord Dalhousie,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,Hsuan Tsang ,,
,,,,,,Major General Sir Thomas Munro,,
,,,,,,Governor General William Bentinck,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,Professor Gauri Vishwanathan,,
,,,,,,,,
,,,,,,,,
,,,,,,Jyotiba Phule,,
,,,,,,Dr B. R. Ambedkar,,
,,,,,,"Aryabhata, Susruta",,
,,,,,,,,
,,,,,,Sir Walter Strickland ,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,Ashis Nandy,,
,,,,,,,,
,,,,,,Sir Arthur Cotton,,
,,,,,,,,
,,,,,,,,
,,,,,,William Jennings Bryan,,
,,,,,,,,
,,,,,,,,
,,,,,,"Raja Rammohan Roy, Bentinck",,
