Years,Key highlight 1,Key highlight 2,Key highlight 3,Key highlight 4,Key highlight 5,People,Person Photo,Places
1800,Education,,,,,Raja Rammohan Roy,Raja_Ram_Mohan_Roy.jpg,"Patna, Kashi"
1801-1839,Ship,,,,,,,Bengal
1803,War,EIC,Rule,,,,,Delhi
1803,Rule,,,,,,,
1803,Ship,War,Rule,,,,,London
1805,Rule,,,,,,,
1806,War,,,,,,,
1806,Education,Civil Services,,,,,,"Haileybury College, near London"
1806,People Died,,,,,,,
1807,Newspaper & Press,People Arrested,Newspaper & Press,,,,,England
1813,Shipbuilding,Act,,,,,,"UK, Bengal, England"
1813,,,,,,,,Goa
1813,Act,Language,Religion,Education,,,,Bengal
1813,Education,,,,,James Mill,James_Mill.jpg,
1813-1859,Caste,Women,Rule,,,,,"Travancore, Madras "
1814,Revenue,Tax,Income,,,,,
1814,Act,Ship,,,,,,"United States, Europe, China, Calcutta, London,"
1765-1815,,,,,,,,
1815-1853,Army Deployment,,,,,,,
1818,War,,,,,,,Sri Lanka
1818,Newspaper & Press,,,,,,,
1674-1818,Ruler,,,,,,,
1819,Education,Ruler,,,,,,
1819-1947,,,,,,"Edward Thompson, Lord Lake","Gerard_Lake.jpg, EdwardThompson.jpg",
1822,Newspaper & Press,,,,,,,
1824-1826,War,People Died,,,,,,
1825-1872,Labour Deployment,,,,,,,Singapore
1825-1860,Army Deployment,,,,,,,
1825,Education,,,,,,,Punjab
1787-1825,Rule,,,,,,,
,,,,,,,,
,,,,,,,,
1824-1826,War,People Died,,,,,,
1828,Founder,Religion,Reform,Nationalist,,Rammohan Roy,Raja_Ram_Mohan_Roy.jpg,Calcutta
1828-1862,Ruler,,,,,,,
1829,Labour Deployment,War,,,,,,Mauritius
1760-1820,Textile,Cotton,,,,,,Dhaka
1830,Textile,Import,Cotton,,,,,
1830,Tea,,,,,,,China
1833,Education,Services,,,,,,
,,,,,,,,
1834,Famine,Ruler,Law,,,,,
1834,Labour Deployment,,,,,,,Mauritius
1835-1872,Loot,Export,,,,Dadabhai Naoroji,DadabhaiNaoroji.jpg,Britain
1835,Education,Language,,,,"Lord Thomas Babington
Macaulay",Thomas_Babington_Macaulay2.jpg,India
1835,Labour Deployment,,,,,,,Mauritius
1835,Loot,,,,,Mr. Montgomery Martin,H_Montgomery_Hyde.jpg,Bengal and Bihar
1835,Education,,,,,"Lord Thomas Babington
Macaulay",Thomas_Babington_Macaulay2.jpg,
1837,Religion,,,,,,,
1837,Law,,,,,Lord Thomas Babington Macaulay,Thomas_Babington_Macaulay2.jpg,
1837-1838,Famine,,,,,,,Agra
1838,Newspaper & Press,,,,,,,Bombay
1838,Labour Deployment,,,,,,,Mauritius
,,,,,,,,
1838,Opium,,,,,,,
1839,Rule,EIC,,,,William Howitt,William_Howitt_.jpg,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1801-1839,Ship,,,,,,,Bengal
1839-1842,Deployment,,,,,,,
1840-1850,Rule,Loot,,,,,,
1840-1850,Tea,Opium,,,,Robert Fortune,RobertFortune.gif,"China, Assam"
1839-1842,Deployment,,,,,,,
1843,Rule,Law,,,,,,Sindh
1843,Emigration,,,,,,,Mauritius
,,,,,,,,
1847,Loot,,,,,"Company’s Governor General, Lord Dalhousie",LordDalhousie.jpg,
1850,Ship,,,,,,,
1850-1947,Textile,,,,,,,
1852,Labour Deployment,,,,,,,
1853,Railway,,,,,,,"Bombay, Thane"
1853,Education,Services,,,,,,
1853,Railway,,,,,,,
1815-1853,Labour Deployment,,,,,,,Mauritius 
1854,Labour Deployment,,,,,,,
"1854-1947, 1912",Locomotives,Import,,,,,,"England, Canada, US,Germany"
1856,Divide & Rule,Religion,,,,,,
1856-1857,War,Army Deployment,,,,,,
1856-1857,People Died,,,,,Professor Clare Anderson,ClareAndersonProf.jpg,"Kolkata, Trinidad"
1857,Revolt,,,,,,,"Delhi, Lucknow"
1857,EIC,,,,,,,Britain
,,,,,,,,
1857,Revolt,,,,,,,
1857,,,,,,,,
1857,Rule,War,,,,,,
,,,,,,,,
,,,,,,,,
1857,Divide & Rule,Religion,,,,,,
1857,Revolt,People Died,,,,"James George Smith Neill, Sir Hugh Rose","GeneralJames georgesmithNeill.jpg, Sir_Hugh_Rose.jpg","Allahabad, Kanpur, Delhi, Jhansi"
1857,,,,,,,,
1858,Services,EIC,Government,,,Queen Victoria,Queen_Victoria.jpg,
1858,Railway,,,,,,,
1858,Jute,,,,,,,
1858,Rule,,,,,Queen Victoria,Queen_Victoria.jpg,
,,,,,,,,
,,,,,,,,
1858,Act,Rule,,,,,,
,,,,,,,,
,,,,,,,,
1859,Divide & Rule,,,,,Lord Elphinstone,LordElphistone.jpg,"Bombay, London"
1859,Famine,,,,,,,
1813-1859,Caste,Women,Rule,,,,,"Travancore, Madras "
1859-1860,Education,,,,,,,Bengal
1860-1870,Labour Deployment,,,,,,,Andamans
,,,,,,,,
1860,Labour Deployment,,,,,,,"Durban, South Africa, Madras, Calcutta"
1860,Army Deployment,,,,,,,China
1860,Army Deployment,,,,,,,China
1860,Education,,,,,,,
1825-1860,Army Deployment,,,,,,,"Malacca, Singapore "
1790-1860,Army Deployment,,,,,,,
1861,Nationalist,,,,,Rabindranath Tagore,Rabindranath_Tagore.jpg,
1861,Law,Services,,,,,,
1861,Law,,,,,,,
1861,,,,,,,,Bengal
1861,Railway,,,,,,,"Connagar, Bally"
1861,Education,,,,,Lord Thomas Babington Macaulay,Thomas_Babington_Macaulay2.jpg,
1862,Railway,,,,,,,"Bengal, Ajmer"
1828-1862,Religion,Ruler,,,,,,
1863,Nationalist,,,,,Swami Vivekananda,SwamiVivekananda.jpg,
1863,Services,,,,,Satyendranath Tagore,SatyendranathTagore.jpg,Maharashtrian town of Satara
1865,Export,,,,,,,America
1866,Famine,People Died,,,,,,Orissa
,,,,,,,,
1866,Famine,,,,,Sir Cecil Beadon,Cecil_Beadon.jpg,"Bengal, Orissa"
1866,Famine,,,,,"Marquess of Salisbury, King_George_III",King_George_III.jpg,Orissa
1866,Famine,,,,,,,
1866,Famine,Export,Loot,,,"Marquess of Salisbury, King_George_III",King_George_III.jpg,"Orissa, Britain"
1867,,,,,,,,Bombay
1867-1868,Army Deployment,,,,,,,Ethiopia
1868,Diamond,Loot,,,,Wilkie Collins,Wilkie-Collins.jpg,
1868,Newspaper & Press,,,,,,,Bengal
1868,Labour Deployment,,,,,,,
1868,Labour Deployment,,,,,,,Caribbean island of St. Croix
1869,Services,,,,,Surendra Nath Banerjea,Surendranath_Banerjee.jpg,
1869-1948,Nationalist,Movement,,,,Mohandas Karamchand Gandhi,"Mahatma-Gandhi,_studio.jpg",
1870-1880,Railway,,,,,,,
1870,Textile,Import,,,,,,
1870,Law,Act,,,,,,
1870,World Economy,GDP,,,,,,"India, Europe"
,,,,,,,,
1871,Law,Act,,,,,,
1835-1872,Loot,,,,,,,
1872,Census,Caste,,,,,,
1872,Census,Rule,,,,,,
1872,People Died,,,,,,,"Malerkotla, Punjab"
1872,Education,Services,,,,,,Royal Indian Engineering College at Cooper’s Hill near London
1825-1872,Labour Deployment,,,,,,,
1873,Nationalist,Services,,,,,,
1873-1874,Famine,,,,,,,Bihar
1874,Services,,,,,,,
1875,Army Deployment,,,,,,,Malaya
1875,Newspaper & Press,,,,,,,Calcutta
1875,Newspaper & Press,,,,,,,
1875,People Died,,,,,Robert Augustus Fuller,RobertAugustusFuller.jpg,
1875,Exchange,,,,,,,Bombay
1876,Famine,,,,,"Queen Victoria, Viceroy Lord Lytton","Queen_Victoria.jpg, LordLytton.png",
1876-1877,Famine,,,,,Sir Richard Temple,SirRichardTemple.jpg,Madras
December 1877,Famine,,,,,"Georgina Brewis, Viceroy Lord Lytton","LordLytton.png, GeorginaBrewis.jpeg",Madras
1877,Loot,,,,,Benjamin Disraeli,BenjaminDisraeli.jpg,
1877,,,,,,,,
1876-1877,Famine,,,,,,,
,,,,,,,,
1878,Army Deployment,,,,,,,
1878,Newspaper & Press,,,,,,,
1878,Newspaper & Press,,,,,,,Madras
1878,Newspaper & Press,Act,Newspaper & Press,,,Lord Lytton,LordLytton.png,
1878,Locomotives,,,,,,,
1879,Labour Deployment,,,,,,,Fiji
1879,Newspaper & Press,,,,,,,Calcutta
1880,,,,,,,,Bengal
1880-1947,Cricket,,,,,,,Bengal
1880-1930,Revenue,Income,Tax,,,,,
1882,Army Deployment,Loot,,,,,,
1885-1886,Army Deployment,,,,,,,
1884,Newspaper & Press,,,,,,,
1885,Government,Political Parties,Congress,,,,,
1885,Army Deployment,,,,,,,
1885-1886,Army Deployment,,,,,,,
1885,Government,Political Parties,Congress,,,Allan Hume and William Wedderburn,"AllanHume.jpg, William_Wedderburn.jpg",
1886,Services,,,,,,,
1887,Government,Rule,,,,"Queen Victoria, Viceroy Lord Lytton","Queen_Victoria.jpg, LordLytton.png",
1887,Services,,,,,"Justice Syed Mahmud, Sir John Edge","SyedMahmood.jpg, ChiefJusticeSirJohnEdge.jpeg",Allahabad
,,,,,,,,
,,,,,,,,
1889,Nationalist,,,,,Jawaharlal Nehru,JawaharlalNehru.jpg,
1889,Newspaper & Press,,,,,,,
,,,,,,,,
1890,Army Deployment,,,,,,,Somaliland
1890,Government,Rule,,,,,,
1890-1900,Railway,,,,,"G. V. Joshi, G. S. Iyer, Gopal Krishna Gokhale and Dadabhai Naoroji","G._Subramania_Iyer.jpg, GKGokhale.jpg, dadabhai.png, Ganesh_Vyankatesh_Joshi.jpeg",
1890-1900,Education,Services,,,,,,
1890-1900,Electricity,Government,Rule,,,,,
1891,Nationalist,,,,,B. R. Ambedkar,B.R.Ambedkar.jpg,
1891,Newspaper & Press,Government,Rule,,,Viceroy Lord Lansdowne,ViceroyLordLansdowne.jpg,Jammu & Kashmir
,,,,,,,,
1892,Services,,,,,"Mahmud, Sir Syed Ahmed Khan","Mahmud,SirSyed AhmedKhan.jpg",
1892,Act,Reform,Congress,,,Allan Hume and William Wedderburn,"AllanHume.jpg, William_Wedderburn.jpg",
1893,Nationalist,Religion,,,,,,
,,,,,,,,
1895,Cricket,,,,,"K. S. Ranjitsinhji, Oscar Wilde and Benjamin Disraeli","BenjaminDisraeli.jpg, K.S.Ranjitsinhj.jpg","England, Australia, Burma"
1895,Opium,Famine,,,,Sir Richard Temple,SirRichardTemple.jpg,
1896,Famine,,,,,Lord Lytton,LordLytton.png,
1896,Independence,Nationalist,,,,Bal Gangadhar Tilak,bal-gangadhar-tilak-692x1024.jpg,
1896,Textile,,,,,,,
1896,Army Deployment,,,,,,,Sudan
1890,Loot,Tax,,,,,,
1896,Army Deployment,Loot,,,,,,Egypt
1896-1898,Army Deployment,,,,,,,East Africa
1896-1900,Famine,,,,,,,
1897-1900,Famine,,,,,Mohandas Karamchand Gandhi,"Mahatma-Gandhi,_studio.jpg",South Africa
1899-1900,Famine,Loot,Tax,,,,,Bombay
1900- 1901,Army Deployment,,,,,,,China
,,,,,,,,
1900,Caste,,,,,,,
"1793-1900, 1891-1900",People Died,,,,,William Digby,William_Digby.jpg,
1770-1900,Famine,People Died,,,,,,
1900-1950,Economy,,,,,,,India
1900-1947,Economy,,,,,,,India
1900,War,Nationalist,Ship,,,V. O. Chidambaram Pillai,V._O._Chidambaram_Pillai.jpg,Madras
1900-1910,Rule,Loot,Income,Government,,J. T. Sunderland,J.T.Sunderland.jpg,
1901,Loot,War,,,,William Digby,William_Digby.jpg,
1901,Loot,,,,,,,
1902,Masscare,People Died,Rule,,,,,
1903,Government,Rule,,,,,,
1903,Army Deployment,,,,,,,
1903,Government,Rule,,,,"Edward VII, Lord Curzon","LordCurzon.jpg, EdwardVII.jpg",Delhi
1903-04,Army Deployment,,,,,,,
1905-06,Famine,,,,,,,
1905,Partition,Divide & Rule,Movement,,,,,Bengal
1905,Partition,Divide & Rule,Movement,,,"Lord Curzon, Nawab Khwaja Salimullah","NawabKhwajaSalimullah.jpg, LordCurzon.jpg","Bengal, Dacca"
,,,,,,,,
1906,Political Parties,Muslim League,,,,,,
1906,Political Parties,Muslim League,,,,Nawab Khwaja Salimullah,NawabKhwajaSalimullah.jpg,Dacca
1908,Partition,Rule,Services,Newspaper & Press,Education,"Mohandas Karamchand Gandhi, Henry, Queen Victoria, Lord Curzon","Mahatma-Gandhi,_studio.jpg",Bengal
1909,Reform,,,,,,,
1910,Newspaper & Press,Congress,Nationalist,,,Sir Pherozeshah Mehta,SirPherozeshahMehta.jpg,
1910,Newspaper & Press,Act,,,,Annie Besant,AnnieBesant.jpg,
1910-1947,Economy,,,,,,,
1910-1920,Cricket,,,,,,,"Bengal, Calcutta"
1911,Rule,,,,,George V and Queen Mary," QueenMary.jpg, GeorgeV.jpg",Delhi
1911,Rule,,,,,,,
1911,Law,Independence,,,,,,
1911,Education,,,,,Gopal Krishna Gokhale,GKGokhale.jpg,
1912,Steel,,,,,Dorabji,Dorabji.jpg,
1912,Act,Locomotives,,,,,,
